"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum"
"1","1","NoLock","2467.4061","283733776","3141010591033218319"
"1","2","Lock","2104.4386","287148072","3141010591033218319"
"2","1","Lock","2391.9556","287150264","3141010591033218319"
"2","2","NoLock","2207.9797","283735040","3141010591033218319"
"3","1","NoLock","2588.3318","285475912","3141010591033218319"
"3","2","Lock","2621.9333","285784384","3141010591033218319"
"4","1","Lock","2194.1117","285768256","3141010591033218319"
"4","2","NoLock","2651.2484","285568952","3141010591033218319"
"5","1","NoLock","2142.221","285577288","3141010591033218319"
"5","2","Lock","2365.057","287155144","3141010591033218319"
"6","1","Lock","2248.8641","287158352","3141010591033218319"
"6","2","NoLock","2661.8133","283754064","3141010591033218319"
"7","1","NoLock","2340.5074","283755456","3141010591033218319"
"7","2","Lock","2373.9871","286740392","3141010591033218319"
"8","1","Lock","2135.4432","287364312","3141010591033218319"
"8","2","NoLock","2124.6691","283716248","3141010591033218319"
"9","1","NoLock","2009.3041","283729312","3141010591033218319"
"9","2","Lock","2704.6216","287160256","3141010591033218319"
"10","1","Lock","2730.0278","287149776","3141010591033218319"
"10","2","NoLock","2606.8242","285451984","3141010591033218319"
