"Scope","Metric","Value"
"Sequential","TotalDriverSelections","1701"
"Sequential","OptimizedCallbackSelections","751"
"Sequential","LegacySelections","950"
"Sequential","CallbackDirectorySteps","34776"
"Sequential","PairedSnapshotDirectorySteps","32792"
"Sequential","PairedSnapshotPercent","94.29"
"GraphDefault","TotalDriverSelections","4216"
"GraphDefault","OptimizedCallbackSelections","2205"
"GraphDefault","LegacySelections","2011"
"GraphDefault","CallbackDirectorySteps","32434"
"GraphDefault","PairedSnapshotDirectorySteps","31504"
"GraphDefault","PairedSnapshotPercent","97.13"
"GraphDefaultLegacyShallow","Selections","1881"
"GraphDefaultLegacyShallow","RootedSelections","1877"
"GraphDefaultLegacyShallow","UniqueFileSpecs","476"
"GraphDefaultLegacyShallow","UniqueDirectories","241"
"GraphDefaultLegacyShallowSdk","Selections","938"
"GraphDefaultLegacyShallowSdk","UniqueFileSpecs","3"
"GraphDefaultLegacyShallowProjectObj","Selections","938"
"GraphDefaultLegacyShallowProjectObj","UniqueFileSpecs","470"
"GraphDefaultLegacyRecursive","Selections","130"
"GraphDefaultLegacyRecursive","UniqueFileSpecs","23"
"GraphDefaultLegacyRecursiveTranslations","Selections","126"
"GraphDefaultLegacyRecursiveTranslations","Roots","21"
"GraphDefaultLegacyRecursiveWwwroot","Selections","2"
"GraphDefaultLegacyRecursiveFixtures","Selections","2"
