"Archive","Path","Bytes","SHA256"
"implementation","callback-sequential-probe-20260820T220525Z\corrected-inprocess\C2-product\semantic-C2-scoped-clean.json","131721550","5DD42A8B1E35E2F352309CD3879A1EB86857EC362C8528F2E7F099FADB76EF9F"
"implementation","callback-sequential-probe-20260820T220525Z\corrected-inprocess\C2-product\semantic-T0.json","131721550","0D2850E837FD27C79E1A37695C7D0AAAC512045D6B2903C8B25A825B70CF0117"
"implementation","post-globbing-profile-20260820\condition-state-candidate-20260820\semantic-fixed-C10.json","131721530","43EEFFF3F67DE9DB2408F96AF0FF42966FCCCE89FEABEB5D373B0E473A9A24EC"
"implementation","post-globbing-profile-20260820\condition-state-candidate-20260820\semantic-fixed-T0.json","131721530","8A4E0FB3BD582155EDB80C3C84FF9D77BBB756B0FACFC47F38109123A27ADC65"
"implementation","post-globbing-profile-20260820\property-function-candidate-20260820\semantic-fixed-C6.json","131721570","870362446B5E8B7E530A055476BD5876FC4EE8F72A6C48EE4BDFB314509C6131"
"implementation","post-globbing-profile-20260820\property-function-candidate-20260820\semantic-fixed-T0.json","131721570","5F9E9ACB48F489D482C4A8CB381B61599C4B78CD204F58F2D4FA89878ADFCC5E"
"implementation","post-globbing-profile-20260820\t0-default-graph-alloc.nettrace","17700654","FFC516F18267E75C1FE052FEB36039CE8647B0FE50B04C595421D073C13A7D9A"
"implementation","post-globbing-profile-20260820\t0-default-graph-cpu.nettrace","7952470","D1C702A1A412153DDA16FAE7CA17BA17523B6F4FEDACD2F683E38B26D0BBB33C"
"implementation","post-globbing-profile-20260820\t0-degree-one-graph-cpu.nettrace","9138154","B190BB330E7AF42D415D56F53963522CD8E912391B3D809384C1A9AB8857708A"
"fast-path","globstar-no-excludes\fixed-baseline-full-shared.json","131792895","406A7483C922DF123E327AE4ECC481BE37CF65C6768DF435942933672E701966"
"fast-path","globstar-no-excludes\fixed-candidate-full-shared.json","131792895","406A7483C922DF123E327AE4ECC481BE37CF65C6768DF435942933672E701966"
"fast-path","globstar-no-excludes\baseline-graph-default.json","35702650","B5ED3A848ECEE412F7078E31602CCD7C572F78BDA9230AE346485DB91E2AADE6"
"fast-path","globstar-no-excludes\candidate-graph-default.json","35702650","94B9E0C37FF549A1466BFE496121F64155D66D89B14EDA4937F52A9DC79E869B"
"touki-oracle","profile-current-legacy-touki\touki.perf.MsBuildEnumeratePerf2.MSBuildLegacyDirect-20260820-202840.nettrace","4919806","518F2B9E1C473C7DC0F8E3CA70F941B05B74898C45E5D889D8F38C591BEE9EA9"
"touki-oracle","profile-current-legacy-touki\touki.perf.MsBuildEnumeratePerf2.MsBuildEnumerator-20260820-202856.nettrace","3303318","3D2933890ADBC4E0D2794BA183335D1CF889DB0753928D30970DF81C2FAFD440"
"touki-oracle","profile-current-optimized-direct\touki.perf.MsBuildEnumeratePerf2.MSBuildOptimizedDirect-20260820-202727.nettrace","3327998","EFB63DA332CDDEACFEF3F2E870EF0E693714F2C9D8C212B5CC997BC4481D4949"
