"Pair","Position","Arm","Workload","DegreeOfParallelism","ElapsedTicks","ElapsedMs","AllocatedBytes","Checksum","Nodes","Edges","TopologyLength","TopologySha256","SourceFile"
"1",,"C10","ProjectGraph","32","19503796","1950.3796","996693200","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-C10.json"
"1",,"T0","ProjectGraph","32","18731214","1873.1214","1023205672","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-T0.json"
"2",,"C10","ProjectGraph","32","18606781","1860.6781","995796736","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-C10.json"
"2",,"T0","ProjectGraph","32","19417914","1941.7914","1025933904","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-T0.json"
"3",,"C10","ProjectGraph","32","19336124","1933.6124","989851480","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-C10.json"
"3",,"T0","ProjectGraph","32","18235842","1823.5842","1024964440","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-T0.json"
"4",,"C10","ProjectGraph","32","19135204","1913.5204","993175536","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-C10.json"
"4",,"T0","ProjectGraph","32","19235489","1923.5489","1025762640","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-T0.json"
"5",,"C10","ProjectGraph","32","18681764","1868.1764","995461248","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-C10.json"
"5",,"T0","ProjectGraph","32","18589310","1858.931","1015656504","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-T0.json"
"6",,"C10","ProjectGraph","32","18788652","1878.8652","994298888","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-C10.json"
"6",,"T0","ProjectGraph","32","19442994","1944.2994","1023212312","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-T0.json"
"7",,"C10","ProjectGraph","32","19816202","1981.6202","996923160","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-C10.json"
"7",,"T0","ProjectGraph","32","20585648","2058.5648","1024436920","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-T0.json"
"8",,"C10","ProjectGraph","32","18491280","1849.128","994128728","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-C10.json"
"8",,"T0","ProjectGraph","32","18734907","1873.4907","1025413264","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-T0.json"
