"Pair","Position","Arm","Workload","DegreeOfParallelism","ElapsedTicks","ElapsedMs","AllocatedBytes","Checksum","Nodes","Edges","TopologyLength","TopologySha256","SourceFile"
"1","1","Baseline","ProjectGraph","1","94215122","9421.5122","1010970288","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-1-Baseline.json"
"1","2","Candidate","ProjectGraph","1","91270091","9127.0091","1011487912","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-2-Candidate.json"
"2","1","Candidate","ProjectGraph","1","97017973","9701.7973","1013909128","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-1-Candidate.json"
"2","2","Baseline","ProjectGraph","1","96151776","9615.1776","1010823088","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-2-Baseline.json"
"3","1","Baseline","ProjectGraph","1","92989408","9298.9408","1011926888","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-1-Baseline.json"
"3","2","Candidate","ProjectGraph","1","101529422","10152.9422","1014938768","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-2-Candidate.json"
"4","1","Candidate","ProjectGraph","1","96078262","9607.8262","1012687336","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-1-Candidate.json"
"4","2","Baseline","ProjectGraph","1","97794039","9779.4039","1010407936","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-2-Baseline.json"
"5","1","Baseline","ProjectGraph","1","100184605","10018.4605","1016196392","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-1-Baseline.json"
"5","2","Candidate","ProjectGraph","1","90328057","9032.8057","1008555040","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-2-Candidate.json"
"6","1","Candidate","ProjectGraph","1","97789273","9778.9273","1010719576","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-1-Candidate.json"
"6","2","Baseline","ProjectGraph","1","94345385","9434.5385","1014047768","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-2-Baseline.json"
"7","1","Baseline","ProjectGraph","1","96241563","9624.1563","1011205728","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-1-Baseline.json"
"7","2","Candidate","ProjectGraph","1","99032919","9903.2919","1010704368","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-2-Candidate.json"
"8","1","Candidate","ProjectGraph","1","99268856","9926.8856","1010338248","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-1-Candidate.json"
"8","2","Baseline","ProjectGraph","1","96233040","9623.304","1011398048","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-2-Baseline.json"
