"Pair","Position","Arm","Workload","DegreeOfParallelism","ElapsedTicks","ElapsedMs","AllocatedBytes","Checksum","Nodes","Edges","TopologyLength","TopologySha256","SourceFile"
"1","1","Baseline","ProjectGraph","32","19593119","1959.3119","1022124288","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-1-Baseline.json"
"1","2","Candidate","ProjectGraph","32","20508735","2050.8735","1022243552","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-2-Candidate.json"
"2","1","Candidate","ProjectGraph","32","20056428","2005.6428","1021821336","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-1-Candidate.json"
"2","2","Baseline","ProjectGraph","32","20418150","2041.815","1020875456","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-2-Baseline.json"
"3","1","Baseline","ProjectGraph","32","19274628","1927.4628","1020377688","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-1-Baseline.json"
"3","2","Candidate","ProjectGraph","32","18748726","1874.8726","1020812408","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-2-Candidate.json"
"4","1","Candidate","ProjectGraph","32","20093768","2009.3768","1023315488","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-1-Candidate.json"
"4","2","Baseline","ProjectGraph","32","19206741","1920.6741","1019369400","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-2-Baseline.json"
"5","1","Baseline","ProjectGraph","32","19568050","1956.805","1021705544","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-1-Baseline.json"
"5","2","Candidate","ProjectGraph","32","18277614","1827.7614","1011593984","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-2-Candidate.json"
"6","1","Candidate","ProjectGraph","32","19130417","1913.0417","1011186288","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-1-Candidate.json"
"6","2","Baseline","ProjectGraph","32","19559538","1955.9538","1023022392","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-2-Baseline.json"
"7","1","Baseline","ProjectGraph","32","19946559","1994.6559","1020292512","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-1-Baseline.json"
"7","2","Candidate","ProjectGraph","32","19907027","1990.7027","1020067888","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-2-Candidate.json"
"8","1","Candidate","ProjectGraph","32","18481713","1848.1713","1012466208","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-1-Candidate.json"
"8","2","Baseline","ProjectGraph","32","20165469","2016.5469","1020774848","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-2-Baseline.json"
