"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum","ProjectCount"
"1","1","T0","2687.2934","311182664","-8872101833290541598","238"
"1","2","Candidate","2712.2997","309664272","-8872101833290541598","238"
"2","1","Candidate","2746.387","309679576","-8872101833290541598","238"
"2","2","T0","2707.6305","311177536","-8872101833290541598","238"
"3","1","T0","2687.9509","311175104","-8872101833290541598","238"
"3","2","Candidate","2709.4587","309746952","-8872101833290541598","238"
"4","1","Candidate","2611.2921","309732928","-8872101833290541598","238"
"4","2","T0","2679.8899","311160024","-8872101833290541598","238"
"5","1","T0","2573.7642","311217512","-8872101833290541598","238"
"5","2","Candidate","2643.4224","309701952","-8872101833290541598","238"
"6","1","Candidate","2697.4747","309703760","-8872101833290541598","238"
"6","2","T0","2641.1189","311081288","-8872101833290541598","238"
"7","1","T0","2572.425","311168520","-8872101833290541598","238"
"7","2","Candidate","2761.8891","309728016","-8872101833290541598","238"
"8","1","Candidate","2653.4735","309738368","-8872101833290541598","238"
"8","2","T0","2727.4853","311183504","-8872101833290541598","238"
