"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum","ProjectCount"
"1","1","T0","2565.5964","306879192","-8872101833290541598","238"
"1","2","Candidate","2460.1562","304327400","-8872101833290541598","238"
"2","1","Candidate","2585.4287","305985960","-8872101833290541598","238"
"2","2","T0","2725.4173","306773408","-8872101833290541598","238"
"3","1","T0","2661.9826","306855248","-8872101833290541598","238"
"3","2","Candidate","2515.5354","305752296","-8872101833290541598","238"
"4","1","Candidate","2707.623","305830152","-8872101833290541598","238"
"4","2","T0","2571.6086","306748088","-8872101833290541598","238"
"5","1","T0","2570.5791","306775064","-8872101833290541598","238"
"5","2","Candidate","2389.7185","304326456","-8872101833290541598","238"
"6","1","Candidate","2519.8138","305860488","-8872101833290541598","238"
"6","2","T0","2571.128","305216464","-8872101833290541598","238"
"7","1","T0","2416.0067","305240408","-8872101833290541598","238"
"7","2","Candidate","2660.2041","304302616","-8872101833290541598","238"
"8","1","Candidate","2455.9814","304464184","-8872101833290541598","238"
"8","2","T0","2584.1118","305259040","-8872101833290541598","238"
