"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum","ProjectCount"
"1","1","T0","2970.9104","308661936","-8872101833290541598","238"
"1","2","Candidate","2785.0035","307877408","-8872101833290541598","238"
"2","1","Candidate","2698.4831","307839032","-8872101833290541598","238"
"2","2","T0","2610.992","309552416","-8872101833290541598","238"
"3","1","T0","2699.2648","309625952","-8872101833290541598","238"
"3","2","Candidate","2698.2733","307799992","-8872101833290541598","238"
"4","1","Candidate","2583.5721","307812264","-8872101833290541598","238"
"4","2","T0","2747.5149","309583072","-8872101833290541598","238"
"5","1","T0","2636.0236","309579352","-8872101833290541598","238"
"5","2","Candidate","2643.1235","307874480","-8872101833290541598","238"
"6","1","Candidate","2688.5162","307784824","-8872101833290541598","238"
"6","2","T0","2632.2835","309574008","-8872101833290541598","238"
"7","1","T0","2810.4047","309606608","-8872101833290541598","238"
"7","2","Candidate","2799.4318","307798688","-8872101833290541598","238"
"8","1","Candidate","2440.8205","307834928","-8872101833290541598","238"
"8","2","T0","2666.6555","309588560","-8872101833290541598","238"
