"Pair","Position","Arm","Workload","DegreeOfParallelism","ElapsedTicks","ElapsedMs","AllocatedBytes","Checksum","Nodes","Edges","TopologyLength","TopologySha256","SourceFile"
"1","1","T0","ProjectGraph","1","76746796","7674.6796","1014996576","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-1-T0.json"
"1","2","Candidate","ProjectGraph","1","75264072","7526.4072","1014668456","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-2-Candidate.json"
"2","1","Candidate","ProjectGraph","1","74056168","7405.6168","1014806968","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-1-Candidate.json"
"2","2","T0","ProjectGraph","1","77420511","7742.0511","1019419744","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-2-T0.json"
"3","1","T0","ProjectGraph","1","76916873","7691.6873","1018928240","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-1-T0.json"
"3","2","Candidate","ProjectGraph","1","76756984","7675.6984","1015945184","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-2-Candidate.json"
"4","1","Candidate","ProjectGraph","1","76565312","7656.5312","1016799520","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-1-Candidate.json"
"4","2","T0","ProjectGraph","1","79842145","7984.2145","1018501264","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-2-T0.json"
"5","1","T0","ProjectGraph","1","73443174","7344.3174","1016562656","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-1-T0.json"
"5","2","Candidate","ProjectGraph","1","75794660","7579.466","1014234408","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-2-Candidate.json"
"6","1","Candidate","ProjectGraph","1","77200832","7720.0832","1016839448","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-1-Candidate.json"
"6","2","T0","ProjectGraph","1","76277397","7627.7397","1019147296","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-2-T0.json"
"7","1","T0","ProjectGraph","1","75902922","7590.2922","1016620336","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-1-T0.json"
"7","2","Candidate","ProjectGraph","1","74958398","7495.8398","1013816848","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-2-Candidate.json"
"8","1","Candidate","ProjectGraph","1","79044201","7904.4201","1016464928","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-1-Candidate.json"
"8","2","T0","ProjectGraph","1","76443629","7644.3629","1015570488","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-2-T0.json"
