"Pair","Position","Arm","Workload","DegreeOfParallelism","ElapsedTicks","ElapsedMs","AllocatedBytes","Checksum","Nodes","Edges","TopologyLength","TopologySha256","SourceFile"
"1","1","T0","ProjectGraph","32","21360782","2136.0782","1021296664","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-1-T0.json"
"1","2","Candidate","ProjectGraph","32","21162422","2116.2422","1010398832","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-2-Candidate.json"
"2","1","Candidate","ProjectGraph","32","20750367","2075.0367","1009418776","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-1-Candidate.json"
"2","2","T0","ProjectGraph","32","21545586","2154.5586","1017446896","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-2-T0.json"
"3","1","T0","ProjectGraph","32","20514516","2051.4516","1015627192","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-1-T0.json"
"3","2","Candidate","ProjectGraph","32","20261195","2026.1195","1012603472","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-2-Candidate.json"
"4","1","Candidate","ProjectGraph","32","22014007","2201.4007","1014289112","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-1-Candidate.json"
"4","2","T0","ProjectGraph","32","21185090","2118.509","1016844904","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-2-T0.json"
"5","1","T0","ProjectGraph","32","20974475","2097.4475","1014473976","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-1-T0.json"
"5","2","Candidate","ProjectGraph","32","20031006","2003.1006","1013923616","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-2-Candidate.json"
"6","1","Candidate","ProjectGraph","32","21631266","2163.1266","1012378784","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-1-Candidate.json"
"6","2","T0","ProjectGraph","32","21520729","2152.0729","1017894608","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-2-T0.json"
"7","1","T0","ProjectGraph","32","21721168","2172.1168","1016832888","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-1-T0.json"
"7","2","Candidate","ProjectGraph","32","20821871","2082.1871","1014153992","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-2-Candidate.json"
"8","1","Candidate","ProjectGraph","32","21610329","2161.0329","1015969832","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-1-Candidate.json"
"8","2","T0","ProjectGraph","32","21251083","2125.1083","1014552768","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-2-T0.json"
