"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum","ProjectCount"
"1","1","T0","2448.9862","291595064","3141010591033218319","238"
"1","2","Candidate","2552.4721","290802952","3141010591033218319","238"
"2","1","Candidate","2570.8232","290773392","3141010591033218319","238"
"2","2","T0","2473.2168","291565064","3141010591033218319","238"
"3","1","T0","2555.3597","291542744","3141010591033218319","238"
"3","2","Candidate","2390.9651","290683352","3141010591033218319","238"
"4","1","Candidate","2508.8665","290715664","3141010591033218319","238"
"4","2","T0","2389.4423","291601912","3141010591033218319","238"
"5","1","T0","2298.3352","291565528","3141010591033218319","238"
"5","2","Candidate","2435.7456","290816936","3141010591033218319","238"
"6","1","Candidate","2553.6343","290738280","3141010591033218319","238"
"6","2","T0","2505.1458","291649896","3141010591033218319","238"
"7","1","T0","2590.8126","291524616","3141010591033218319","238"
"7","2","Candidate","2509.3883","290727928","3141010591033218319","238"
"8","1","Candidate","2502.2329","290720120","3141010591033218319","238"
"8","2","T0","2618.5697","291610360","3141010591033218319","238"
