"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum","ProjectCount"
"1","1","T0","2383.4495","286696888","3141010591033218319","238"
"1","2","Candidate","2438.5274","285783232","3141010591033218319","238"
"2","1","Candidate","2376.6271","285759440","3141010591033218319","238"
"2","2","T0","2382.0802","286660544","3141010591033218319","238"
"3","1","T0","2330.666","286724200","3141010591033218319","238"
"3","2","Candidate","2347.8562","285768816","3141010591033218319","238"
"4","1","Candidate","2326.1627","285933048","3141010591033218319","238"
"4","2","T0","2397.6769","286647328","3141010591033218319","238"
"5","1","T0","2276.9101","286861536","3141010591033218319","238"
"5","2","Candidate","2161.1911","285889912","3141010591033218319","238"
"6","1","Candidate","2302.852","285765176","3141010591033218319","238"
"6","2","T0","2582.4127","286859272","3141010591033218319","238"
"7","1","T0","2072.1605","286850248","3141010591033218319","238"
"7","2","Candidate","2297.015","285769752","3141010591033218319","238"
"8","1","Candidate","2368.8916","285762544","3141010591033218319","238"
"8","2","T0","2518.7301","286722128","3141010591033218319","238"
