"Pair","Position","Arm","ElapsedMs","AllocatedBytes","Checksum","ProjectCount"
"1","1","T0","2514.8449","289706720","3141010591033218319","238"
"1","2","Candidate","2493.3004","288126656","3141010591033218319","238"
"2","1","Candidate","2408.1938","288076216","3141010591033218319","238"
"2","2","T0","2436.9367","289739072","3141010591033218319","238"
"3","1","T0","2516.8529","289684752","3141010591033218319","238"
"3","2","Candidate","2445.2862","288106280","3141010591033218319","238"
"4","1","Candidate","2373.0656","288161576","3141010591033218319","238"
"4","2","T0","2605.5531","289725600","3141010591033218319","238"
"5","1","T0","2314.5133","289635488","3141010591033218319","238"
"5","2","Candidate","2450.1976","288102288","3141010591033218319","238"
"6","1","Candidate","2434.2802","288157872","3141010591033218319","238"
"6","2","T0","2565.0753","289695768","3141010591033218319","238"
"7","1","T0","2526.4039","289678840","3141010591033218319","238"
"7","2","Candidate","2469.0547","288179160","3141010591033218319","238"
"8","1","Candidate","2439.5613","288166312","3141010591033218319","238"
"8","2","T0","2477.0151","289680552","3141010591033218319","238"
